subtype,new_cell_type,tissue
Neutrophil,Neutrophil,Adult-Adipose
Mast cell,Mast cell,Adult-Adipose
Stromal cell,Stromal cell,Adult-Adipose
Adipocyte,Adipocyte,Adult-Adipose
Proliferating cell,Proliferating cell,Adult-Adipose
Adipocyte ,Adipocyte,Adult-Adipose
M2 Macrophage,Macrophage,Adult-Adipose
T cell,T cell,Adult-Adrenal-Gland
inflammatory cell,Inflammatory cell,Adult-Adrenal-Gland
Proliferating cell,Proliferating cell,Adult-Adrenal-Gland
Neutrophil,Neutrophil,Adult-Adrenal-Gland
Stromal cell,Stromal cell,Adult-Adrenal-Gland
Endothelial cell,Endothelial cell,Adult-Adrenal-Gland
Zona fasciculata cell,Zona fasciculata cell,Adult-Adrenal-Gland
Erythroid cell,Erythroid cell,Adult-Adrenal-Gland
Dendritic cell,Dendritic cell,Adult-Adrenal-Gland
Macrophage,Macrophage,Adult-Adrenal-Gland
Soomth muscle cell,Smooth muscle cell,Adult-Adrenal-Gland
Endothelial,Endothelial cell,Adult-Artery
Smooth muscle cell,Smooth muscle cell,Adult-Artery
B cell (Plasmocyte),B cell,Adult-Artery
Endothelial cell,Endothelial cell,Adult-Artery
Epithelial cell,Epithelial cell,Adult-Artery
Fibroblast,Fibroblast,Adult-Artery
Basal  cell,Basal cell,Adult-Artery
T cell,T cell,Adult-Artery
Mast cell,Mast cell,Adult-Artery
Stromal cell,Stromal cell,Adult-Artery
M1 Macrophage,Macrophage,Adult-Artery
Macrophage,Macrophage,Adult-Artery
Oligodendrocyte,Oligodendrocyte,Fetal-Brain
Purkinje cell,Purkinje cell,Fetal-Brain
Neuron,Neuron,Fetal-Brain
Proliferating radial glia,Radial glia,Fetal-Brain
Unknown,(DELETED),Fetal-Brain
Fibroblast,Fibroblast,Fetal-Brain
Microglia,Microglia,Fetal-Brain
Erythroid cell,Erythroid cell,Fetal-Brain
Radial glia,Radial glia,Fetal-Brain
Ependymal cell,Ependymal cell,Fetal-Brain
Stromal cell,Stromal cell,Fetal-Brain
Oligodendrocyte progenitor cell,Oligodendrocyte,Fetal-Brain
Macrophage,Macrophage,Fetal-Brain
Proliferating cell,Proliferating cell,Fetal-Brain
Astrocyte,Astrocyte,Fetal-Brain
Endothelial cell,Endothelial cell,Fetal-Brain
Neutrophil,Neutrophil,Fetal-Brain
Macrophage,Macrophage,Adult-Colon
Unknown,(DELETED),Adult-Colon
Enterocyte,Enterocyte,Adult-Colon
T cell,T cell,Adult-Colon
Smooth muscle cell,Smooth muscle cell,Adult-Colon
Mast cell,Mast cell,Adult-Colon
Enteric glial cell,Enteric glial cell,Adult-Colon
B cell (Plasmocyte),B cell,Adult-Colon
Stromal cell,Stromal cell,Adult-Colon
Goblet cell,Goblet cell,Adult-Colon
Enterocyte progenitor,Enterocyte,Adult-Colon
Fibroblast,Fibroblast,Adult-Esophagus
Lymphocyte,Lymphocyte,Adult-Esophagus
B cell (Plasmocyte),B cell,Adult-Esophagus
Basal cell,Basal cell,Adult-Esophagus
Unknown,(DELETED),Adult-Esophagus
Epithelial cell,Epithelial cell,Adult-Esophagus
Endothelial cell,Endothelial cell,Adult-Esophagus
Smooth muscle cell,Smooth muscle cell,Adult-Esophagus
Mast cell,Mast cell,Adult-Esophagus
Mucosal cell,Mucosal cell,Adult-Esophagus
MT high cell,MT high cell,Adult-Esophagus
Macrophage,Macrophage,Adult-Esophagus
B cell,B cell,Adult-Esophagus
Neutrophil,Neutrophil,Adult-Esophagus
Stromal cell,Stromal cell,Adult-Esophagus
Kerationcyte,Keratinocyte,Adult-Esophagus
Neutrophil ,Neutrophil,Adult-Esophagus
Neutrophil,Neutrophil,Adult-Heart
Smooth muscle cell,Smooth muscle cell,Adult-Heart
M2 Macrophage,Macrophage,Adult-Heart
M1 Macrophage,Macrophage,Adult-Heart
Apoptotic cell,Apoptotic cell,Adult-Heart
Conventional dendritic cell,Dendritic cell,Adult-Heart
Mast cell,Mast cell,Adult-Heart
T cell,T cell,Adult-Heart
Cardiomyocyte,Cardiomyocyte,Adult-Heart
Vascular endothelial cell,Endothelial cell,Adult-Heart
Ventricle cardiomyocyte,Cardiomyocyte,Adult-Heart
Fibroblast,Fibroblast,Adult-Heart
Dendritic cell,Dendritic cell,Adult-Heart
Endothelial cell,Endothelial cell,Adult-Heart
Macrophage,Macrophage,Adult-Heart
Distal tubule cell,Tubule cell,Adult-Kidney
Thick ascending limb of the loop of Henle,Loop of henle,Adult-Kidney
Smooth muscle cell,Smooth muscle cell,Adult-Kidney
Macrophage,Macrophage,Adult-Kidney
B cell (Plasmocyte),B cell,Adult-Kidney
Proximal tubule cell,Tubule cell,Adult-Kidney
Mast cell,Mast cell,Adult-Kidney
Fenestrated endothelial cell,Endothelial cell,Adult-Kidney
Unknown,(DELETED),Adult-Kidney
Neutrophil,Neutrophil,Adult-Kidney
IC-tran-PC,IC-tran-PC,Adult-Kidney
Principle cell,Principle cell,Adult-Kidney
Fibroblast,Fibroblast,Adult-Kidney
Myeloid cell,Myeloid cell,Adult-Kidney
Endothelial cell,Endothelial cell,Adult-Kidney
Ureteric epithelial cell,Epithelial cell,Adult-Kidney
Glomerular endothelial cell,Endothelial cell,Adult-Kidney
Epithelial cell,Epithelial cell,Adult-Kidney
B cell(Plasmocyte),B cell,Adult-Kidney
Conventional dendritic cell,Dendritic cell,Adult-Kidney
