diff	method	para
-0.00119056159549313	alpha_1	simulation4
-0.035808127301421	alpha_1	simulation4
-0.0483557045932773	alpha_1	simulation4
-0.0509062958254048	alpha_1	simulation4
-0.0466379155774735	alpha_1	simulation4
-0.0545244894257865	alpha_1	simulation4
-0.0979769064412568	alpha_1	simulation4
-0.0279164199839517	alpha_1	simulation4
-0.00205164305678968	alpha_1	simulation4
-0.067754201299883	alpha_1	simulation4
-0.0532749318422494	alpha_1	simulation4
-0.0355579750929548	alpha_1	simulation4
-0.0680717330099453	alpha_1	simulation4
-0.0607273364315041	alpha_1	simulation4
-0.0420447038791375	alpha_1	simulation4
-0.0540089383239063	alpha_1	simulation4
-0.00353442519432656	alpha_1	simulation4
-0.0199866577798903	alpha_1	simulation4
-0.0788482661469285	alpha_1	simulation4
-0.0751332046008409	alpha_1	simulation4
-0.0681919796926941	alpha_1	simulation4
-0.0544718094373457	alpha_1	simulation4
-0.0357562295634615	alpha_1	simulation4
-0.0538714989970406	alpha_1	simulation4
-0.0055267795078871	alpha_1	simulation4
-0.0187123086655472	alpha_1	simulation4
-0.0888858344121248	alpha_1	simulation4
-0.0731664677364687	alpha_1	simulation4
-0.0635102493554313	alpha_1	simulation4
-0.0493689551054301	alpha_1	simulation4
-0.0350764246533925	alpha_1	simulation4
-0.0570936191269985	alpha_1	simulation4
-0.00158221863413771	alpha_1	simulation4
-0.0720602978025459	alpha_1	simulation4
-0.0588868018850832	alpha_1	simulation4
-0.0270221130822629	alpha_1	simulation4
-0.0557589263942258	alpha_1	simulation4
-0.0590743672453406	alpha_1	simulation4
-0.0596976525771927	alpha_1	simulation4
-0.0426790001179754	alpha_1	simulation4
-0.00343871372258356	alpha_1	simulation4
-0.0916770441564908	alpha_1	simulation4
-0.0551576066441819	alpha_1	simulation4
-0.0166641433446642	alpha_1	simulation4
-0.0667132104162528	alpha_1	simulation4
-0.0597270700891903	alpha_1	simulation4
-0.0363214330867541	alpha_1	simulation4
-0.0559550978088793	alpha_1	simulation4
-0.000183441975189269	alpha_1	simulation4
-0.0341559018577882	alpha_1	simulation4
-0.0540760268298576	alpha_1	simulation4
-0.0559518444879716	alpha_1	simulation4
-0.0513247726326017	alpha_1	simulation4
-0.0543617750720066	alpha_1	simulation4
-0.0910404932306033	alpha_1	simulation4
-0.0256896229020265	alpha_1	simulation4
0.00034629169921141	alpha_1	simulation4
-0.0381103383518605	alpha_1	simulation4
-0.0513659309895838	alpha_1	simulation4
-0.0483016436289812	alpha_1	simulation4
-0.0503013733934713	alpha_1	simulation4
-0.0544987984597683	alpha_1	simulation4
-0.0936228645649841	alpha_1	simulation4
-0.0289271814525075	alpha_1	simulation4
-0.00432175714445276	alpha_1	simulation4
