Estmated_Gamma True_Gamma beta
1 1 0.5
0.06 0 0.5
0.7 0 0.5
0.2 0 0.5
1 1 0.5
1 0 0.5
0.06 0 0.5
0.2 0 0.5
0.24 0 0.5
0.1 0 0.5
0.08 0 0.5
0.4 1 0.5
1 0 0.5
1 0 0.5
1 0 0.5
0.6 0 0.5
1 1 0.5
0 0 0.5
0.28 0 0.5
0.76 1 0.5
0 0 0.5
0.2 1 0.5
1 1 0.5
0.12 1 0.5
1 0 0.5
0.1 0 0.5
0.12 0 0.5
0.34 0 0.5
0.92 0 0.5
0.26 0 0.5
1 0 0.5
0.04 0 0.5
0 0 0.5
1 1 0.5
0.42 0 0.5
0.72 0 0.5
0.06 0 0.5
0.9 0 0.5
0.32 0 0.5
0.18 0 0.5
0.74 0 0.5
0.08 0 0.5
0.94 0 0.5
0.18 0 0.5
0.1 0 0.5
0.56 0 0.5
1 1 0.5
0 0 0.5
0.4 0 0.5
0.1 0 0.5
0.06 1 0.5
1 1 0.5
0.08 0 0.5
1 0 0.5
1 0 0.5
1 1 0.5
0.62 0 0.5
0.86 0 0.5
0.12 0 0.5
0.94 0 0.5
0.04 0 0.5
0.04 0 0.5
0.24 0 0.5
0.7 1 0.5
1 0 0.5
1 1 0.5
0.08 0 0.5
0.6 0 0.5
0 0 0.5
1 1 0.5
0.02 0 0.5
0.78 0 0.5
0.9 0 0.5
1 1 0.5
0.88 1 0.5
0 1 0.5
0 0 0.5
0.06 0 0.5
1 0 0.5
0.08 0 0.5
1 1 0.5
0.64 0 0.5
0.98 1 0.5
1 0 0.5
1 0 0.5
0 0 0.5
0.68 0 0.5
0.3 0 0.5
0.02 0 0.5
0.8 0 0.5
1 1 0.5
0.44 0 0.5
0.82 1 0.5
1 1 0.5
0.24 1 0.5
0.1 0 0.5
0.38 0 0.5
0 0 0.5
1 0 0.5
0.7 1 0.5
0 0 0.5
0.12 0 0.5
0.8 1 0.5
0.22 0 0.5
0.06 1 0.5
1 1 0.5
0.82 1 0.5
0.1 0 0.5
0.52 0 0.5
0 0 0.5
1 0 0.5
0.06 0 0.5
0.02 0 0.5
0.36 0 0.5
0.12 0 0.5
0.1 0 0.5
1 1 0.5
0 0 0.5
0.12 0 0.5
0 0 0.5
1 1 0.5
0.78 0 0.5
0 0 0.5
0.34 1 0.5
0.04 0 0.5
0.02 0 0.5
0.38 0 0.5
0.06 0 0.5
0.22 0 0.5
0.42 0 0.5
0.2 0 0.5
0.22 1 0.5
0.02 0 0.5
0 0 0.5
1 1 0.5
0.36 0 0.5
1 0 0.5
0 0 0.5
0.28 0 0.5
0.12 0 0.5
0.76 1 0.5
0.12 0 0.5
0.18 0 0.5
0.64 0 0.5
0.44 0 0.5
1 0 0.5
1 0 0.5
1 1 0.5
1 1 0.5
1 1 0.5
0.24 0 0.5
0.86 0 0.5
0.36 1 0.5
0.04 0 0.5
1 1 0.5
1 1 0.5
