Estmated_Gamma True_Gamma beta tauW
1 1 0.5 1
0.24 0 0.5 1
1 0 0.5 1
0.666666666666667 0 0.5 1
1 1 0.5 1
1 0 0.5 1
0.533333333333333 0 0.5 1
0.173333333333333 0 0.5 1
0.746666666666667 0 0.5 1
0.853333333333333 0 0.5 1
0.56 0 0.5 1
0.546666666666667 1 0.5 1
1 0 0.5 1
1 0 0.5 1
1 0 0.5 1
0.933333333333333 0 0.5 1
0.946666666666667 1 0.5 1
0.266666666666667 0 0.5 1
0.746666666666667 0 0.5 1
1 1 0.5 1
0.986666666666667 0 0.5 1
1 1 0.5 1
1 1 0.5 1
0.52 1 0.5 1
1 0 0.5 1
0.186666666666667 0 0.5 1
0.52 0 0.5 1
1 0 0.5 1
1 0 0.5 1
0.386666666666667 0 0.5 1
1 0 0.5 1
0.0933333333333333 0 0.5 1
0.96 0 0.5 1
1 1 0.5 1
0.333333333333333 0 0.5 1
0.866666666666667 0 0.5 1
0.386666666666667 0 0.5 1
1 0 0.5 1
0.48 0 0.5 1
0.666666666666667 0 0.5 1
0.8 0 0.5 1
0.32 0 0.5 1
1 0 0.5 1
0.266666666666667 0 0.5 1
0.72 0 0.5 1
0 0 0.5 1
1 1 0.5 1
0.626666666666667 0 0.5 1
1 0 0.5 1
0.853333333333333 0 0.5 1
1 1 0.5 1
1 1 0.5 1
0.853333333333333 0 0.5 1
0.8 0 0.5 1
1 0 0.5 1
0.493333333333333 1 0.5 1
0.906666666666667 0 0.5 1
1 0 0.5 1
0.346666666666667 0 0.5 1
1 0 0.5 1
0.76 0 0.5 1
0.506666666666667 0 0.5 1
0.546666666666667 0 0.5 1
0.866666666666667 1 0.5 1
1 0 0.5 1
1 1 0.5 1
0.813333333333333 0 0.5 1
0.906666666666667 0 0.5 1
0.933333333333333 0 0.5 1
1 1 0.5 1
0.08 0 0.5 1
0.933333333333333 0 0.5 1
0.973333333333333 0 0.5 1
1 1 0.5 1
1 1 0.5 1
1 1 0.5 1
0.96 0 0.5 1
0.213333333333333 0 0.5 1
1 0 0.5 1
0.04 0 0.5 1
1 1 0.5 1
0.733333333333333 0 0.5 1
1 1 0.5 1
1 0 0.5 1
1 0 0.5 1
0.88 0 0.5 1
0.573333333333333 0 0.5 1
0.826666666666667 0 0.5 1
0.28 0 0.5 1
1 0 0.5 1
1 1 0.5 1
0.986666666666667 0 0.5 1
0.973333333333333 1 0.5 1
1 1 0.5 1
0.746666666666667 1 0.5 1
1 0 0.5 1
0.386666666666667 0 0.5 1
